study;year;no;study_type;latitude;longitude;ecosystem;altitude;sampling_month;genus;species;stage;astaxanthin_or_carotenoids;astaxanthin_on_total_car;asta_form;concentration;unit;daily_pic_moment;seasonal_pic_season;seasonal_pic_month;predator_abundance;comments
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchirella;Euchirella maxima;mixed;carotenoids;dominance;NA;0.308;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchirella;Euchirella messinensis;mixed;carotenoids;dominance;NA;0.025;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchirella;Euchirella rostrata;mixed;carotenoids;dominance;NA;0.055;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchirella;Euchirella spp. ;mixed;carotenoids;dominance;NA;0.142;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Gaetanus;Gaetanus kruppi ;mixed;carotenoids;dominance;NA;0.137;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Gaetanus;Gaetanus latifrons;mixed;carotenoids;dominance;NA;0.182;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Gaetanus;Gaetanus miles;mixed;carotenoids;dominance;NA;0.229;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Gaetanus;Gaetanus minor;mixed;carotenoids;dominance;NA;0.501;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Gaetanus;Gaetanus pileatus;mixed;carotenoids;dominance;NA;0.225;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Gaetanus;Gaetanus spp. ;mixed;carotenoids;dominance;NA;0.312;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Gaidus;Gaidius spp.;mixed;carotenoids;dominance;NA;0.057;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Heterorhabdus;Heterorhabdus norvegicus;mixed;carotenoids;dominance;NA;0.105;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Heterorhabdus;Heterorhabdus spinifrons;mixed;carotenoids;dominance;NA;0.066;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Heterorhabdus;Heterorhabdus vipera;mixed;carotenoids;dominance;NA;0.07;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Heterostylites;Heterostylites longicornus;mixed;carotenoids;dominance;NA;0.069;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Lophotrix;Lophothrix frontalis;mixed;carotenoids;dominance;NA;1.133;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Lophotrix;Lophothrix humilifrons;mixed;carotenoids;dominance;NA;0.353;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Lucicutia;Lucicutia maxima ;mixed;carotenoids;dominance;NA;0.086;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Megacalanus;Megacalanus princeps;mixed;carotenoids;dominance;NA;0.131;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Metridia;Metridia lucens;mixed;carotenoids;dominance;NA;0.011;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Metridia;Metridia princeps;mixed;carotenoids;dominance;NA;0.011;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Metridia;Metridia venusta ;mixed;carotenoids;dominance;NA;0.083;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Metridia;Metridia spp. ;mixed;carotenoids;dominance;NA;0.69;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Nannocalanus;Nannocalanus minor;mixed;carotenoids;dominance;NA;0.073;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Neocalanus;Neocalanus gracialis;mixed;carotenoids;dominance;NA;0.063;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Oncaea;Oncaea venusta;mixed;carotenoids;dominance;NA;0.333;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Onchocalanus;Onchocalanus cristalus;mixed;carotenoids;dominance;NA;0.118;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Paraeuchaeta;Pareuchaeta barbata;mixed;carotenoids;dominance;NA;0.068;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Paraeuchaeta;Pareuchaeta gracialis;mixed;carotenoids;dominance;NA;0.081;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Paraeuchaeta;Pareuchaeta hanseni;mixed;carotenoids;dominance;NA;0.018;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Paraeuchaeta;Pareuchaeta norvegica;mixed;carotenoids;dominance;NA;0.067;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Paraeuchaeta;Pareuchaeta tonsa;mixed;carotenoids;dominance;NA;0.023;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Paraeuchaeta;Pareuchaeta spp.;mixed;carotenoids;dominance;NA;0.047;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Phaenna;Phaenna spinifera;mixed;carotenoids;dominance;NA;0.00021;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Pleuromamma;Pleuromamma abdominalis;mixed;carotenoids;dominance;NA;0.019;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Pleuromamma;Pleuromamma borealis;mixed;carotenoids;dominance;NA;0.104;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Pleuromamma;Pleuromamma robusta;mixed;carotenoids;dominance;NA;0.0066;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Pleuromamma;Pleuromamma xiphias;mixed;carotenoids;dominance;NA;0.011;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Pleuromamma;Pleuromamma spp.;mixed;carotenoids;dominance;NA;0.01;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Pseudeuchaeta;Pseudeuchaeta spp.;mixed;carotenoids;dominance;NA;0.097;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Pseudochirilla;Pseudochirilla pustulifera;mixed;carotenoids;dominance;NA;0.292;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Pseudochirilla;Pseudochirella spp.;mixed;carotenoids;dominance;NA;0.082;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Rhincalanus;Rhincalanus cornutus;mixed;carotenoids;dominance;NA;0.357;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Rhincalanus;Rhincalanus nasutus;mixed;carotenoids;dominance;NA;0.208;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Rhincalanus;Rhincalanus spp.;mixed;carotenoids;dominance;NA;0.165;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Sapphirina;Sapphirina opalina;mixed;carotenoids;dominance;NA;0.083;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Scottocalanus;Scottocalanus persecans;mixed;carotenoids;dominance;NA;0.357;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Scottocalanus;Scottocalanus securifrons;mixed;carotenoids;dominance;NA;0.045;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Undeuchaeta;Undeuchaeta major;mixed;carotenoids;dominance;NA;0.03;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Undeuchaeta;Undeuchaeta plumosa;mixed;carotenoids;dominance;NA;0.04;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Undinopsis;Undinopsis spp.;mixed;carotenoids;dominance;NA;0.555;ug/mgDW;NA;NA;NA;NA;
Nobakht et al.;2016;NA;diet effect;36;52;marine;NA;NA;Acartia;Acartia clausi;adults;carotenoids;NA;NA;0.46;ug/mgDW;NA;NA;NA;NA;depending on diet composition
Nobakht et al.;2016;NA;diet effect;36;52;marine;NA;NA;Acartia;Acartia clausi;copepodits;carotenoids;NA;NA;0.675;ug/mgDW;NA;NA;NA;NA;depending on diet composition
Nobakht et al.;2016;NA;diet effect;36;52;marine;NA;NA;Acartia;Acartia clausi;nauplii;carotenoids;NA;NA;0.485;ug/mgDW;NA;NA;NA;NA;depending on diet composition
Juhl et al.;1996;NA;diet effect;32;-117;marine;NA;NA;Calanus;Calanus pacificus;adults_females;astaxanthin;dominance;15% free, 85% ester;53.9;ng.ind-1;NA;NA;NA;NA;astaxanthin only in tissue not in gut content, sometimes assosiated with canthaxanthin as intermediate product
Juhl et al.;1996;NA;diet effect;34;-120;marine;NA;april_july;Calanus;Calanus pacificus;adults_females;astaxanthin;dominance;15% free, 85% ester;70.6;ng.ind-1;NA;NA;NA;NA;astaxanthin only in tissue not in gut content, sometimes assosiated with canthaxanthin as intermediate product
Juhl et al.;1996;NA;diet effect;34;-120;marine;NA;april_july;Calanus;Calanus pacificus;copepodits;astaxanthin;dominance;NA;15;ng.ind-1;NA;NA;NA;NA;astaxanthin only in tissue not in gut content, sometimes assosiated with canthaxanthin as intermediate product
Kleppel et al. ;1985;NA;forcing variables;33;-118;marine;NA;may;Acartia;Acartia tonsa;adults;carotenoids;dominance;NA;31.31;OD/gdrywt;max midnight, min sunrise;NA;NA;NA;
Kleppel et al. ;1985;NA;forcing variables;33;-118;marine;NA;august;Acartia;Acartia tonsa;adults;carotenoids;dominance;NA;11.06;OD/gdrywt;max midnight, min sunrise;NA;NA;NA;
Lee et al.;2019;NA;forcing variables;24.772;-77.851;marine;NA;march;mixed;mixed (calanoids);adults;carotenoids;NA;NA;"137; 144";a*, b* channel color value;NA;NA;NA;null;
Lee et al.;2019;NA;forcing variables;24.7758;-77.9158;marine;NA;march;mixed;mixed (cyclopoids);adults;carotenoids;NA;NA;"139; 150";a*, b* channel color value;NA;NA;NA;high;
Lee et al.;2019;NA;forcing variables;24.785;-77.86;marine;NA;march;mixed;mixed (calanoids);adults;carotenoids;NA;NA;"131; 131";a*, b* channel color value;NA;NA;NA;low;
Lotocka et al. ;2004;NA;pigment identification/quantification;54;19;marine;NA;may_june_july_september;Pseudocalanus;Pseudocalanus acupes;nauplii;carotenoids;57;97% free, 3% ester;0.34;ug/mgDW;NA;NA;NA;NA;presence of other carotenoids including canthaxanthin but in minority
Lotocka et al. ;2004;NA;pigment identification/quantification;54;19;marine;NA;may_june_july_september;Pseudocalanus;Pseudocalanus acupes;copepodits;carotenoids;57;55% free, 45% ester;0.529;ug/mgDW;NA;NA;NA;NA;only 50-60 percent, also some canthaxanthin, unidentified carotenoids, and pigment from the diet
Lotocka et al. ;2004;NA;pigment identification/quantification;54;19;marine;NA;may_june_july_september;Pseudocalanus;Pseudocalanus acupes;adults;carotenoids;50;52% free, 48% ester;0.5275;ug/mgDW;NA;NA;NA;NA;only 50-60 percent, also some canthaxanthin, unidentified carotenoids, and pigment from the diet
Lotocka et al. ;2004;NA;pigment identification/quantification;54;19;marine;NA;may_june_july_september;Acartia;Acartia spp.;nauplii;carotenoids;81;96% free, 4% ester;0.490;ug/mgDW;NA;NA;NA;NA;mean value, no range given for this species,presence of other carotenoids including canthaxanthin but in minority
Lotocka et al. ;2004;NA;pigment identification/quantification;54;19;marine;NA;may_june_july_september;Acartia;Acartia spp.;copepodits;carotenoids;72;61% free, 49% ester;0.525;ug/mgDW;NA;NA;NA;NA;mean value, no range given for this species,presence of other carotenoids including canthaxanthin but in minority
Lotocka et al. ;2004;NA;pigment identification/quantification;54;19;marine;NA;may_june_july_september;Acartia;Acartia spp.;adults;carotenoids;64;47% free, 53% ester;0.525;ug/mgDW;NA;NA;NA;NA;mean value, no range given for this species,presence of other carotenoids including canthaxanthin but in minority
Luecke & O'Brien;1981;NA;forcing variables + redness and fitness;68;-149;freshwater;745;june_july;Heterocope;Heterocope septentrionalis;adults;carotenoids;NA;NA;0.658;OD/mgdrywt;NA;NA;NA;high;
Luecke & O'Brien;1981;NA;forcing variables + redness and fitness;68;-149;freshwater;745;june_july;Heterocope;Heterocope septentrionalis;adults;carotenoids;NA;NA;0.438;OD/mgdrywt;NA;NA;NA;null;
Czeczuga;1975;NA;pigment identification/quantification;53;23;freshwater;140;april_may;Eudiaptomus;Eudiaptomus amblyodon;adults;carotenoids;86;NA;0.012;ug/mgLW;NA;NA;NA;NA;pink morph
Czeczuga;1975;NA;pigment identification/quantification;53;23;freshwater;140;april,may;Eudiaptomus;Eudiaptomus amblyodon;adults;carotenoids;77;NA;0.00342;ug/mgLW;NA;NA;NA;NA;blue morph, with canthaxanthin
Czeczuga;1975;NA;pigment identification/quantification;53;23;freshwater;140;april,may;Eudiaptomus;Eudiaptomus amblyodon;adults_females;carotenoids;77;NA;0.00613;ug/mgLW;NA;NA;NA;NA;adult mature female, contain canthaxanthin
Moeller et al.;2005;NA;forcing variables + redness and fitness;41;-75;freshwater;428;all_year_long;Leptodiaptomus;Leptopdiaptomus minutus;adults;carotenoids;minority;NA;2.65;ug/mgDW;NA;spring;april;high;content of all carotenoids, not only astaxanthin, MAAS pic in summer after carotenoid pic
Nielsen et al.;2014;NA;methodology;69;-53;marine;NA;may;Calanus;Calanus finmarchicus;adults;carotenoids;NA;NA;"0,125; 0,0135";%red pixel geninal somite, %redness antennae;NA;NA;NA;NA;threshold in a HSB colour model on ImageJ
Nielsen et al.;2014;NA;methodology;69;-53;marine;NA;may;Calanus;Calanus glacialis;adults;carotenoids;NA;NA;"25,5; 11,2";%red pixel geninal somite, %redness antennae;NA;NA;NA;NA;threshold in a HSB colour model on ImageJ
Persault et al.;2007;NA;forcing variables;41.382;-74.293;freshwater;439;april_may_june_july;Leptodiaptomus;Leptopdiaptomus minutus;adults;carotenoids;NA;NA;1.75;ug/mgDW;NA;spring;april;NA;
Persault et al.;2007;NA;forcing variables;41.382;-74.293;freshwater;439;april_may_june_july;Cyclops;Cyclops scutifer;adults;carotenoids;NA;NA;1.45;ug/mgDW;NA;spring;may;NA;
Persault et al.;2007;NA;forcing variables;41.376;-75.093;freshwater;428;april_may_june_july;Leptodiaptomus;Leptopdiaptomus minutus;adults;carotenoids;NA;NA;0.85;ug/mgDW;NA;spring;april;high;
Persault et al.;2007;NA;forcing variables;41.376;-75.093;freshwater;428;april_may_june_july;Aglaodiaptomus;Aglaodipatomus spatulocrenatus;adults;carotenoids;NA;NA;1.3;ug/mgDW;NA;spring;april ;high;
Persault et al.;2007;NA;forcing variables;41.376;-75.093;freshwater;428;april_may_june_july;Cyclops;Cyclops scutifer;adults;carotenoids;NA;NA;1.3;ug/mgDW;NA;spring ;may;high;
Persault et al.;2007;NA;forcing variables;44.949;-109.489;freshwater;3063;july_august;Hesperodiaptomus;Hesperodiaptomus shoshone;adults;carotenoids;dominance;NA;6.8;ug/mgDW;NA;NA;NA;NA;
Persault et al.;2007;NA;forcing variables;40.052;-105.63;freshwater;3612;july_august;Hesperodiaptomus;Hesperodiaptomus shoshone;adults;carotenoids;dominance;NA;8.5;ug/mgDW;NA;NA;NA;NA;
Persault et al.;2007;NA;forcing variables;41.289;-75.16;freshwater;564;july_august;Leptodiaptomus;Leptopdiaptomus minutus;adults;carotenoids;NA;NA;5;ug/mgDW;NA;NA;NA;low;
Powers et al.;2019;NA;redness and fitness;32;-117;marine;NA;NA;Tigriopus;Tigriopus californicus;mixed;carotenoids;NA;NA;NA;NA;NA;NA;NA;NA;
Rautio et al.;2009;NA;pigment identification/quantification;55.5;-77.5;freshwater;50;july_august;Leptodiaptomus;Leptopdiaptomus minutus;adults;carotenoids;29;NA;1.6;ug/mgDW;NA;NA;NA;null;
Rautio et al.;2009;NA;pigment identification/quantification;68;-149;freshwater;400;july_august;Diaptomus;Diaptomus probilofensis;adults;carotenoids;29;NA;2.2;ug/mgDW;NA;NA;NA;null;a lot of echineone also (more than 50%), and traces of canthaxanthin
Rautio et al.;2009;NA;pigment identification/quantification;68;-149;freshwater;400;july_august;Heterocope;Heterocope septentrionalis;adults;carotenoids;60;NA;3.2;ug/mgDW;NA;NA;NA;null;a lot of echineone also (more than 50%), and traces of canthaxanthin
Rautio et al.;2009;NA;pigment identification/quantification;55.5;-77.5;freshwater;50;july_august;Heterodiaptomus;Heterodiaptomus arcticus;adults;carotenoids;63;NA;3.8;ug/mgDW;NA;NA;NA;null;traces of canthaxanthin
Rhodes et al.;2007;NA;diet effect;30;-84;marine;NA;NA;Nitokra;Nitokra lacustris;adults;astaxanthin;26;60% free, 40% ester;0.185;ug/mgDW;NA;NA;NA;NA;population fed on live migroalgea, small% but all carotenoids quantified (with phytoplankton)
Rhodes et al.;2007;NA;diet effect;30;-84;marine;NA;NA;Nitokra;Nitokra lacustris;adults;astaxanthin;2;100% free;0.65;ug/mgDW;NA;NA;NA;NA;population fed on formulated feed, small% but all carotenoids quantified (with phytoplankton)
Ringelberg and Hallegraeff;1976;NA;forcing variables;45;2;freshwater;1197;august;Acanthodiaptomus;Acanthodiaptomus denticornis;mixed;carotenoids;94;NA;2.2;OD/mgdrywt;max morning, min midnight;NA;NA;high;
Schneider et al.;2012;NA;forcing variables;47;16;freshwater;110;all_year_long;Arctodiaptomus;Arctodiaptomus spinosus;adults;carotenoids;NA;NA;0.35;ug/mgDW;NA;spring;may;null;RL, mean for males and females because no statistical difference
Schneider et al.;2012;NA;forcing variables;47;16;freshwater;110;all_year_long;Arctodiaptomus;Arctodiaptomus spinosus;adults;carotenoids;NA;NA;0.15;ug/mgDW;NA;spring;april;null;US mean for males and females because no statistical difference
Schneider et al.;2012;NA;forcing variables;47;16;freshwater;110;all_year_long;Arctodiaptomus;Arctodiaptomus spinosus;adults;carotenoids;NA;NA;3.45;ug/mgDW;NA;spring;june;null;OS,  mean for males and females because no statistical difference
Schneider et al.;2012;NA;forcing variables;47;16;freshwater;110;all_year_long;Arctodiaptomus;Arctodiaptomus spinosus;adults;carotenoids;NA;NA;4.65;ug/mgDW;NA;spring;june;null;GN,  mean for males and females because no statistical difference
Schneider et al.;2016;NA;forcing variables;48;-71;freshwater;347;all_year_long;Leptodiaptomus;Leptopdiaptomus minutus;mixed;astaxanthin;99;14% free, 18%monoesters, 68% diesters;2.15;ug/mgDW;NA;winter;february;high;
Schneider et al.;2017;NA;forcing variables;48;-71;freshwater;347;may_september;Leptodiaptomus;Leptopdiaptomus minutus;eggs;astaxanthin;dominance;NA;0.215;ng.egg-1;NA;NA;NA;high;7 to 40 percent of astaxanthin investement in the eggs
Siefken & Armitage;1967;NA;forcing variables;38;-95;freshwater;270;july_august_september_october_november;Diaptomus;Diaptomus clavipes;mixed;carotenoids;NA;NA;12;OD/mgdrywt;NA;spring;NA;high;
Snoeijs & Haubner;2014;NA;forcing variables;57;19;marine;NA;march_may_august_november;Temora;Temora longicornis, Pseudocalanus acupes, Acartia sp.;adults_late_copepodits;astaxanthin;99;66%free, 22%monoester, 12% diester;1.4;ng.ugC-1;NA;winter;march, november;high;station BP, higher percentage of monoester in may and august, and lower percentage of diester, traces of canthaxanthin
Snoeijs & Haubner;2014;NA;forcing variables;56;11;marine;NA;may_august;Temora;Temora longicornis, Pseudocalanus acupes, Acartia sp.;adults_late copepodits;astaxanthin;99;62%free, 25%monoester, 13% diester;0.85;ng.ugC-1;NA;NA;NA;high;station …K, interesting discussion on the link between astaxanthin and lipids, traces of canthaxanthin
Sommaruga;2010;NA;forcing variables;27.8;86.81;freshwater;5400;october;Arctodiaptomus;Arctodiaptomus jurisowitchi;adults_late copepodits;astaxanthin;dominance;majority free, minority ester;1;ug/mgDW;NA;NA;NA;null;
Sommaruga;2010;NA;forcing variables;27.8;86.8;freshwater;5213;october;Arctodiaptomus;Arctodiaptomus jurisowitchi;adults_late copepodits;astaxanthin;dominance;majority free, minority ester;3;ug/mgDW;NA;NA;NA;null;
Sommaruga;2010;NA;forcing variables;27.8;86.79;freshwater;5067;october;Arctodiaptomus;Arctodiaptomus jurisowitchi;adults_late copepodits;astaxanthin;dominance;majority free, minority ester;3.5;ug/mgDW;NA;NA;NA;null;
Sommaruga;2010;NA;forcing variables;27.8;86.78;freshwater;4890;october;Arctodiaptomus;Arctodiaptomus jurisowitchi;adults_late copepodits;astaxanthin;dominance;majority free, minority ester;17.2;ug/mgDW;NA;NA;NA;null;
Sommaruga;2010;NA;forcing variables;27.8;86.76;freshwater;5160;october;Arctodiaptomus;Arctodiaptomus jurisowitchi;adults_late copepodits;astaxanthin;dominance;majority free, minority ester;5.2;ug/mgDW;NA;NA;NA;null;
Garcia et al.;2008;NA;forcing variables;-41;-71;freshwater;760;all_year_long;Boeckella;Boeckella antiqua;adults;carotenoids;NA;NA;2.52;ug/mgDW;NA;winter;september, october;null;
Sommer et al.;2006;NA;forcing variables;54;7;marine;NA;august;Calanus;Calanus helgolandicus;adults_late_copepodits;astaxanthin;NA;30%free, 70% ester;0.115;ug/mgDW;max night, min day;NA;NA;NA;
Sommer et al.;2006;NA;forcing variables;56;3;marine;NA;july;Calanus;Calanus helgolandicus;adults_late_copepodits;astaxanthin;NA;40% free, 60% ester;0.205;ug/mgDW;NA;NA;NA;NA;the light enhance the esterification
Tartarotti et al.;1999;NA;redness and fitness;47;11;freshwater;2417;july_august;Cyclops;Cyclops abyssorum tatricus;adults_late_copepodits;carotenoids;NA;NA;6.5;ug/mgDW;NA;NA;NA;high;
Tartarotti et al.;1999;NA;redness and fitness;-33;-70;freshwater;2700;december_january;Boeckella;Boeckella gracilipes;adults_late_copepodits;carotenoids;NA;NA;2.3;ug/mgDW;NA;NA;NA;high;most transparent lake studied (still 10 percent UVB at 13m)
Hairston;1978;NA;pigment identification/quantification;47;-121;freshwater;1130;august;Diaptomus;Diaptomus kenai;mixed;carotenoids;NA;NA;7.49;ug/mgDW;NA;NA;NA;high;no entire pdf found (info in Tartarroti et al. 1999)
Tartarotti et al.;2017;NA;forcing variables;47;10.1;freshwater;2416;july_august;Cyclops;Cyclops abyssorum tatricus;mixed;carotenoids;90;50%free, 50% ester;1.2;ug/mgDW;NA;NA;NA;null;
Tartarotti et al.;2017;NA;forcing variables;47;10.2;freshwater;2420;july;Cyclops;Cyclops abyssorum tatricus;mixed;carotenoids;90;20%free, 68%ester;0.75;ug/mgDW;NA;NA;NA;null;
Tartarotti et al.;2017;NA;forcing variables;47;11;freshwater;2483;august;Cyclops;Cyclops abyssorum tatricus;mixed;carotenoids;90;45% free, 65% ester;1.6;ug/mgDW;NA;NA;NA;high;
Tartarotti et al.;2017;NA;forcing variables;47;12;freshwater;2425;october;Cyclops;Cyclops abyssorum tatricus;mixed;carotenoids;85;45% free, 65% ester;3.6;ug/mgDW;NA;NA;NA;high;
Tartarotti et al.;2018;NA;forcing variables + redness and fitness;47;11;freshwater;2417;all_year_long;Cyclops;Cyclops abyssorum tatricus;mixed;carotenoids;NA;NA;3.1;ug/mgDW;NA;autumn;october;high;
Trudnowska et al.;2020;NA;forcing variables;76.5;14.5;marine;NA;july;Calanus;Calanus finmarchicus;mixed;astaxanthin;NA;NA;2.2;ug/mgDW;NA;NA;NA;NA;
Trudnowska et al.;2020;NA;forcing variables;76.8;15.5;marine;NA;july;Calanus;Calanus finmarchicus;mixed;astaxanthin;NA;NA;1.4;ug/mgDW;NA;NA;NA;NA;
Trudnowska et al.;2020;NA;forcing variables;76.85;15.55;marine;NA;july;Calanus;Calanus finmarchicus;mixed;astaxanthin;NA;NA;1.1;ug/mgDW;NA;NA;NA;NA;
Trudnowska et al.;2020;NA;forcing variables;77;16.2;marine;NA;july;Calanus;Calanus finmarchicus;mixed;astaxanthin;NA;NA;0.5;ug/mgDW;NA;NA;NA;NA;
Trudnowska et al.;2020;NA;forcing variables;76.8;15.5;marine;NA;july;Calanus;Calanus glacialis;mixed;astaxanthin;NA;NA;2.8;ug/mgDW;NA;NA;NA;NA;
Trudnowska et al.;2020;NA;forcing variables;76.85;15.55;marine;NA;july;Calanus;Calanus glacialis;mixed;astaxanthin;NA;NA;2.1;ug/mgDW;NA;NA;NA;NA;
Trudnowska et al.;2020;NA;forcing variables;77;16.2;marine;NA;july;Calanus;Calanus glacialis;mixed;astaxanthin;NA;NA;0.6;ug/mgDW;NA;NA;NA;NA;
Van der Meeren ;2008;NA;pigment identification/quantification;60;5;marine;NA;all_year_long;mixed;Eurytemora affinis, Centropages hamatus, Acartia grani;mixed;astaxanthin;100;100% free;0.686;ug/mgDW;NA;winter;december;NA;but jan, fev, march not sampled
Van der Veen;2005;NA;forcing variables + redness and fitness;54;10;freshwater;1;NA;Macrocyclops;Macrocyclops albidus;adults;NA;NA;NA;NA;NA;NA;NA;NA;high;
Van Nieuwerburgh et al.;2004;NA;forcing variables;63;9;marine;NA;august_july;mixed;Acartia sp., Paracalanus, Pseudocalanus, Temora, Oithona;mixed;astaxanthin;99;55% free, 35% monoester, 10% diester;14.6;umol.molC-1;max morning ;NA;NA;NA;canthaxanthin in negligible amounts
Vestheim & Kaartvedt;2006;NA;forcing variables;59;10;marine;NA;february;Paraeuchaeta;Pareuchaeta norvegica;adults_females;NA;NA;NA;236.5;mean grey value;max night, min day;NA;NA;NA;method to quantify color based on image analysis
Vinebrook & Leavitt;1999;NA;redness and fitness;51;-116;freshwater;2217;NA;Hesperodiaptomus;Hesperodiaptomus arcticus;mixed;NA;NA;NA;NA;NA;NA;NA;NA;null;strongly pigmented
